"","Wynik_funkcji_fitness","Indeks_wyniku","Czas","Szansa_na_mutacje","Populacja","Elityzm"
"1",85,1,0.461000000000013,0,10,1
"42",88,2,0.463999999999942,0,10,1
"82",90,15,0.485999999999876,0.05,10,1
"41",91,46,0.486999999999853,0.05,10,1
"122",90,11,0.498000000000047,0.1,10,1
"242",91,84,0.503999999999905,0.25,10,1
"402",90,57,0.509000000000015,0.45,10,1
"162",91,34,0.51299999999992,0.15,10,1
"322",91,82,0.51299999999992,0.35,10,1
"2",85,4,0.519999999999982,0,10,0
"43",85,2,0.524999999999864,0,10,0
"362",90,18,0.527000000000044,0.4,10,1
"442",90,89,0.527000000000044,0.5,10,1
"202",91,53,0.528999999999996,0.2,10,1
"482",91,61,0.532000000000153,0.55,10,1
"562",89,69,0.532999999999447,0.65,10,1
"123",90,38,0.536000000000058,0.1,10,0
"83",91,38,0.543999999999869,0.05,10,0
"642",90,20,0.552999999999884,0.75,10,1
"323",90,31,0.554999999999836,0.35,10,0
"282",90,37,0.557999999999993,0.3,10,1
"203",91,34,0.561999999999898,0.2,10,0
"163",90,38,0.562000000000353,0.15,10,0
"403",90,87,0.568000000000211,0.45,10,0
"722",89,59,0.570000000000618,0.85,10,1
"522",90,88,0.571999999999207,0.6,10,1
"243",90,21,0.572999999999865,0.25,10,0
"682",89,8,0.574999999999818,0.8,10,1
"363",89,81,0.577999999999975,0.4,10,0
"802",87,6,0.578999999999724,0.95,10,1
"762",90,84,0.579999999999927,0.9,10,1
"443",89,40,0.58199999999988,0.5,10,0
"283",90,15,0.58600000000024,0.3,10,0
"602",89,73,0.59099999999944,0.7,10,1
"523",89,81,0.603000000000065,0.6,10,0
"723",87,19,0.605999999999767,0.85,10,0
"842",87,26,0.61200000000008,1,10,1
"683",89,28,0.619999999999891,0.8,10,0
"603",89,36,0.621000000000095,0.7,10,0
"483",89,70,0.630999999999858,0.55,10,0
"643",90,77,0.631000000000313,0.75,10,0
"763",87,9,0.636000000000422,0.9,10,0
"563",89,33,0.63799999999992,0.65,10,0
"843",88,3,0.649000000000342,1,10,0
